,發生時間,發生地點,死亡受傷人數,車種,經度,緯度,data_id
1588,108年11月21日 15時22分00秒,南投縣埔里鎮台14線 62公里600.0公尺處,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,120.96513999999999,23.973307000000002,108a11588
1589,108年11月21日 16時02分00秒,彰化縣員林市出水里出水巷64之2號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車,120.5445,24.0775,108a11589
1590,108年11月21日 17時35分03秒,桃園市蘆竹區山林路2段760號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.313308,25.080030999999998,108a11590
1591,108年11月21日 22時02分50秒,新竹縣竹東鎮中興路3段73巷前0.0公尺口,死亡1;受傷1,普通重型-機車;行人-人,121.05705,24.765163,108a11591
1592,108年11月21日 22時10分00秒,臺南市安定區新吉里國道8號側車道前0.0公尺,死亡1;受傷0,普通重型-機車,120.196068,23.080966,108a11592
1593,108年11月22日 06時04分00秒,彰化縣福興鄉元中村番花路1段473號前0.0公尺前,死亡1;受傷0,自用-小客車;普通重型-機車,120.48403700000001,24.017478,108a11593
1594,108年11月22日 13時24分11秒,花蓮縣玉里鎮永昌里中華路口 / 花蓮縣玉里鎮自強路,死亡1;受傷0,普通重型-機車;民營公車-大客車,121.316672,23.34176,108a11594
1595,108年11月22日 14時45分17秒,花蓮縣瑞穗鄉台9線 246公里300.0公尺處北側向路肩,死亡1;受傷1,普通重型-機車;乘客-人,121.382799,23.570068,108a11595
1596,108年11月22日 17時55分00秒,彰化縣北斗鎮西德里舜耕路4之32號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車;自用-大貨車,120.51763600000001,23.866192,108a11596
1597,108年11月23日 05時49分00秒,新北市淡水區淡金路2段 / 新北市淡水區新市一路3段,死亡1;受傷1,民營客運-大客車;普通重型-機車;普通重型-機車,121.446047,25.193459,108a11597
1598,108年11月23日 09時20分00秒,南投縣國姓鄉台14線 45公里700.0公尺處附近向外側,死亡1;受傷0,普通重型-機車,120.875197,23.983476,108a11598
1599,108年11月23日 17時50分00秒,新北市汐止區新台五路2段前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.67091299999998,25.066761,108a11599
1600,108年11月23日 20時30分00秒,屏東縣屏東市復興南路二段前0.0公尺北側,死亡1;受傷2,普通重型-機車;電動自行車-慢車;普通重型-機車,120.483791,22.627172,108a11600
1601,108年11月24日 08時23分00秒,臺南市鹽水區橋南里南門路8號,死亡1;受傷0,自用-小客車;行人-人;自用-小客車,120.266916,23.316211,108a11601
1602,108年11月24日 09時19分57秒,桃園市大溪區康莊路709號前0.0公尺,死亡1;受傷2,普通重型-機車;大型重型1(550C.C.以上)-機車;自用-小客車;乘客-人,121.283736,24.864498,108a11602
1603,108年11月24日 09時44分35秒,苗栗縣後龍鎮北龍里成功路與東門街口,死亡1;受傷0,自用-小客車;行人-人,120.79026599999999,24.614873,108a11603
1604,108年11月24日 18時30分00秒,雲林縣水林鄉水南村埔尾路76-15號前,死亡1;受傷0,普通重型-機車;其他人-人,120.239496,23.571028,108a11604
1605,108年11月24日 19時31分00秒,新北市中和區景平里景平路口 / 新北市中和區景新里景新街口,死亡1;受傷1,行人-人;普通重型-機車,121.496319,25.00367,108a11605
1606,108年11月24日 21時43分36秒,宜蘭縣冬山鄉香南路326號前0.0公尺,死亡2;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用);乘客-人,121.791214,24.630026,108a11606
1607,108年11月25日 01時30分00秒,臺南市新市區潭頂里區道南175線潭頂99-3號前0.0公尺,死亡1;受傷0,普通重型-機車,120.342786,23.087978,108a11607
1608,108年11月25日 06時53分00秒,雲林縣斗六市崙峯里仁義路36-3號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.53828600000001,23.680799,108a11608
1609,108年11月25日 12時49分00秒,高雄市湖內區和平路 / 高雄市湖內區忠孝街,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.223633,22.895747,108a11609
1610,108年11月25日 13時46分00秒,臺南市安定區蘇林里市道178線前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.259631,23.127684,108a11610
1611,108年11月25日 14時53分00秒,臺北市北投區石牌路2段 / 臺北市北投區石牌路2段,死亡1;受傷0,普通重型-機車;行人-人,121.524896,25.123031,108a11611
1612,108年11月25日 17時40分37秒,桃園市蘆竹區新興街417號前0.0公尺口,死亡1;受傷0,自用-小客車;普通重型-機車,121.263002,25.008245000000002,108a11612
1613,108年11月26日 01時40分00秒,臺北市北投區中央北路3段200號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.481315,25.136643,108a11613
1614,108年11月26日 15時15分00秒,新北市新莊區福營路359號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車;計程車-小客車;自用-小客車,121.424255,25.027994,108a11614
1615,108年11月26日 15時38分35秒,臺東縣大武鄉台9線 433公里200.0公尺處東側,死亡1;受傷1,普通重型-機車;乘客-人,120.91171000000001,22.377785999999997,108a11615
1616,108年11月26日 17時32分00秒,新北市中和區圓通路 / 新北市中和區板南路,死亡1;受傷1,行人-人;普通重型-機車,121.492424,24.990619,108a11616
